node,feature_index,importance_rmse_increase
0,62,0.0023881775934277427
0,53,0.0022014016260127056
0,78,0.0021028959992675234
0,71,0.0018757853685610337
0,91,0.0018308469491736534
0,98,0.0018243063822785122
0,42,0.0015879929201420007
0,59,0.0014305761485870483
0,4,0.0013976931133028447
0,2,0.0013072631620656694
1,0,0.003320104993821016
1,46,0.0018638203191857217
1,70,0.001554156233674775
1,15,0.001293928565918645
1,9,0.0012065908043562001
1,8,0.0010352490219497634
1,7,0.0010342062218938186
1,26,0.00100336257486619
1,76,0.0010001192084648225
1,14,0.00096259840779922
2,0,0.02163061840205871
2,22,0.015635295486780554
2,9,0.006105220608857542
2,66,0.00598382999406466
2,53,0.005899674821752687
2,81,0.005877499642757966
2,41,0.005816731238396128
2,21,0.005751465637191033
2,15,0.005352589168764993
2,37,0.00526900015964607
